id,sym,side,strategy,entry_price,exit_price,size,risk_usd,pnl,pnl_pct,fee,status,exit_stage,opened_at,closed_at
1723,EVAA,LONG,ROTA,2.2322,2.8,223.99426574679686,,127.18394409103118,0.25436788818206235,0,TP,0,2026-07-10 00:21:03.92244+00,2026-07-10 09:59:02.188+00
1724,VANRY,LONG,ROTA,0.007126,0.006747,70165.59079427448,,-26.592758911030028,-0.05318551782206006,0,SL,0,2026-07-10 00:21:03.968902+00,2026-07-10 09:59:02.288+00
1725,US,LONG,ROTA,0.027276,0.026056,18331.133597301658,,-22.363982988708067,-0.04472796597741613,0,SL,0,2026-07-10 00:21:03.991762+00,2026-07-10 09:59:02.226+00
1726,BASED,LONG,ROTA,0.11148,0.10209,4485.109436670255,,-42.11517761033367,-0.08423035522066735,0,SL,0,2026-07-10 00:21:04.011996+00,2026-07-10 09:40:02.727+00
1727,LIT,LONG,ROTA,2.3937,2.5054,208.88164765843675,,23.332080043447366,0.04666416008689473,0,TP,0,2026-07-10 00:21:04.031839+00,2026-07-10 09:40:02.649+00
1728,KORU,SHORT,ROTA,575.42,543.2,0.8689305203155956,,27.996941364568414,0.05599388272913683,0,TP,0,2026-07-10 00:21:04.052677+00,2026-07-10 09:59:02.319+00
1729,SLX,SHORT,ROTA,0.16554,0.16482,3020.4180258547785,,2.174700978615436,0.004349401957230871,0,TP,0,2026-07-10 00:21:04.091795+00,2026-07-10 09:40:02.678+00
1730,TAC,SHORT,ROTA,0.004759,0.004038,105064.08909434755,,75.75120823702461,0.15150241647404922,0,TP,0,2026-07-10 00:21:04.111608+00,2026-07-10 09:59:02.347+00
1731,SKYAI,SHORT,ROTA,0.03805,0.03593,13140.604467805519,,27.85808147174775,0.055716162943495504,0,TP,0,2026-07-10 00:21:04.132714+00,2026-07-10 09:40:02.702+00
1732,LAB,SHORT,ROTA,1.1401,1.1388,438.55802122620827,,0.570125427594008,0.0011402508551880159,0,TP,0,2026-07-10 00:21:04.153882+00,2026-07-10 09:59:02.377+00
1733,ARB,LONG,DONCH4H,0.09159,0.09118,2729.5556283437054,,-1.2435582487171293,-0.00447647123048376,0,SL,0,2026-07-10 04:00:02.452325+00,2026-07-10 14:22:01.977+00
1734,DEXE,LONG,DONCH4H,34.76,34.54,7.1921749136939015,,-1.5822784810126502,-0.006329113924050601,0,SL,0,2026-07-10 04:00:02.567668+00,2026-07-10 09:10:07.447+00
1735,UNI,LONG,DONCH4H,3.465,3.635,72.15007215007215,,12.134379509379505,0.04906204906204904,0,TP,0,2026-07-10 04:01:01.992301+00,2026-07-10 11:51:02.418+00
1736,SKL,LONG,ROTA,0.005786,0.005786,86737.3469231427,,0,0,0,TP,0,2026-07-10 09:40:02.776905+00,2026-07-10 09:59:02.404+00
1737,DEXE,LONG,ROTA,35.74,35.74,14.042033835962611,,0,0,0,TP,0,2026-07-10 09:40:02.805014+00,2026-07-10 09:59:02.255+00
1738,WLD,SHORT,ROTA,0.3813,,1316.1874883223284,,,,0,OPEN,0,2026-07-10 09:40:02.825279+00,
1739,SOXL,SHORT,ROTA,185.08,185.08,2.711596549045298,,0,0,0,TP,0,2026-07-10 09:40:02.845014+00,2026-07-10 09:59:02.435+00
1740,ARB,LONG,ROTA,0.09335,,5473.91069264411,,,,0,OPEN,0,2026-07-10 09:59:02.499101+00,
1741,BCH,LONG,ROTA,243.22,248.13,2.100935626833022,,10.054941349207091,0.02018748458186003,0,TP,0,2026-07-10 09:59:02.53071+00,2026-07-10 12:06:15.65+00
1742,LDO,LONG,ROTA,0.3059,,1670.4464307235294,,,,0,OPEN,0,2026-07-10 09:59:02.555317+00,
1743,UNI,LONG,ROTA,3.488,,146.49930136419945,,,,0,OPEN,0,2026-07-10 09:59:02.586572+00,
1744,ADA,LONG,ROTA,0.1665,0.1678,3069.0063853353013,,3.7322186652062466,0.007807807807807781,0,TP,0,2026-07-10 09:59:02.609639+00,2026-07-10 12:06:16.168+00
1745,FET,SHORT,ROTA,0.1614,0.1638,3165.9824235336287,,-7.857651776968154,-0.014869888475836514,0,SL,0,2026-07-10 09:59:02.63321+00,2026-07-10 12:06:16.671+00
1746,GALA,SHORT,ROTA,0.002158,,236788.49080552717,,,,0,OPEN,0,2026-07-10 09:59:02.657326+00,
1747,DYDX,SHORT,ROTA,0.1322,0.1328,3865.276574571313,,-2.5758203092942824,-0.00453857791225408,0,SL,0,2026-07-10 09:59:02.684097+00,2026-07-10 12:06:16.945+00
1748,SEI,SHORT,ROTA,0.04947,0.05052,10329.28164864216,,-11.106663385518992,-0.02122498483929659,0,SL,0,2026-07-10 09:59:02.712752+00,2026-07-10 12:06:17.194+00
1749,BCH,LONG,ROTA,248.13,,3.2340343957583753,,,,0.4012304773097628,OPEN,0,2026-07-10 12:06:17.598759+00,
1750,TIA,LONG,ROTA,0.4148,,1501.0942719826974,,,,0.31132695200921146,OPEN,0,2026-07-10 12:06:17.866125+00,
1751,ATOM,SHORT,ROTA,1.583,,752.6806289935427,,,,0.5957467178483891,OPEN,0,2026-07-10 12:06:18.116562+00,
1752,SEI,SHORT,ROTA,0.05052,,16657.694722655608,,,,0.4207733686942807,OPEN,0,2026-07-10 12:06:18.364678+00,
1753,DYDX,SHORT,ROTA,0.1328,,2157.333719841311,,,,0.14324695899746306,OPEN,0,2026-07-10 12:06:18.631574+00,
1754,ENA,LONG,DONCH4H,0.08033,0.08021,8482.556773720891,,-1.3580997522565417,-0.0014938379185857726,1.0221056784494988,SL,2,2026-07-10 20:00:03.148823+00,2026-07-11 23:35:26.222+00
1755,ENA,LONG,DONCH4H,0.08221,0.08206,16598.208392871813,,-3.170755749290489,-0.0018245955479869996,1.0234040339834938,SL,1,2026-07-11 04:00:03.463762+00,2026-07-11 16:04:02.498+00
1756,ETH,LONG,DONCH4H,1814.11,1782.77,1.0127277373893244,,-32.641617603974126,-0.01727568890530338,0.9185997578376736,SL,0,2026-07-11 16:00:04.790661+00,2026-07-12 00:09:01.921+00
1757,AAVE,LONG,DONCH4H,99.67,99.64,9.259134239196598,,-0.739064094972683,-0.00030099327781680683,0.6921434322155439,SL,1,2026-07-11 16:04:02.539698+00,2026-07-11 23:10:05.312+00
1758,AAVE,LONG,DONCH4H,101.71,98.46,5.066616567987143,,-16.715933379600223,-0.031953593550290045,0.2576627855649862,SL,0,2026-07-11 20:00:04.098329+00,2026-07-11 23:35:25.254+00
1759,SOL,SHORT,DONCH4H,76.73,76.74,17.561640033096445,41.03048260966212,-0.8494565284007153,-0.00013032712107377694,1.0106284798046177,SL,1,2026-07-12 00:00:06.461938+00,2026-07-12 01:41:02.139+00
1760,AVAX,SHORT,DONCH4H,6.523,6.282865299280061,104.54166484583868,47.07015262597416,24.972717160841796,0.03681353682660408,1.0228879196841085,TP,2,2026-07-12 04:00:03.312569+00,2026-07-12 06:51:05.456+00
